ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_3095	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	jejuensis	100	100	100	100	100	100	68
Seq_3096	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	100	99	99	99	99	99	99
Seq_3097	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	84	63	61	61	61	61
Seq_3098	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	82	52	52	52	52	52
Seq_3099	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	55	54	54	54	54
Seq_3100	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	86	61	60	60	60	60
Seq_3101	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	99	98	98	96	96
Seq_3102	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	100	100	100	99	82	16	16
Seq_3103	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	NA	NA	100	96	80	70	70	24	19
Seq_3104	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	palustris	100	100	100	100	100	100	98
Seq_3105	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	59	59	59	59	59
Seq_3106	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	82	59	58	58	58	58
Seq_3107	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CWT CU03-E12	NA	NA	100	100	100	100	100	100	100
Seq_3108	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	99	99
Seq_3109	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	100	100	100	100	100	100	100
Seq_3110	Bacteria	NA	NA	NA	NA	NA	NA	100	41	39	39	36	36	36
Seq_3111	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	NA	100	100	100	100	100	99	99
Seq_3112	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Pasteuria	NA	100	100	100	100	100	100	42
Seq_3113	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	86	86	86	86
Seq_3114	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	79	57	57	57	57	57
Seq_3115	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	80	57	55	55	55	55
Seq_3116	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	84	66	61	61	61	61
Seq_3117	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	oceanisediminis	100	100	100	97	97	97	90
Seq_3118	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3119	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	NA	100	100	100	100	100	100	100
Seq_3120	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_3121	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	88	87	41	41	41	41
Seq_3122	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_3123	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	hispanicum	100	100	100	100	100	100	88
Seq_3124	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	91	72	72	72	72	72
Seq_3125	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	60	58	58	58	58
Seq_3126	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	98	85	58	57	57	57	57
Seq_3127	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	85	85
Seq_3128	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	NA	100	100	100	100	100	54	53
Seq_3129	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA	100	100	100	100	100	98	98
Seq_3130	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA	100	100	100	100	100	100	100
Seq_3131	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	86	58	54	54	54	54
Seq_3132	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	96	78	61	58	58	58	58
Seq_3133	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	88	60	58	58	58	58
Seq_3134	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	85	59	59	59	59	59
Seq_3135	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	78	51	48	48	48	48
Seq_3136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	rhizogenes	100	100	100	100	100	99	53
Seq_3137	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	100	93	93	93	93
Seq_3138	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	100
Seq_3139	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	85	84	31	31	31	31
Seq_3140	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Granulicella	NA	100	100	100	100	100	98	96
Seq_3141	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	94	94	34	34	34	34
Seq_3142	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	NA	NA	100	100	100	100	100	100	100
Seq_3143	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	100	100	100	100	100	100
Seq_3144	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	NA	100	100	100	100	100	100	100
Seq_3145	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	100	100	100	100	100	100	82
Seq_3146	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila	NA	100	100	100	100	100	99	99
Seq_3147	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	NA	100	100	100	100	100	73	73
Seq_3148	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	100	100	100	100	100	100	46
Seq_3149	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	97	97	97	97
Seq_3150	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	89	89	89	89
Seq_3151	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	NA	100	100	100	96	96	96	96
Seq_3152	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	89	71	67	67	67	67
Seq_3153	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	terrigena	100	100	100	100	100	100	52
Seq_3154	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	87	62	61	61	61	61
Seq_3155	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	98	84	63	63	63	63	63
Seq_3156	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	83	61	61	61	61	61
Seq_3157	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	NA	100	100	100	97	97	97	97
Seq_3158	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	99	99
Seq_3159	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	NA	NA	NA	100	100	100	100	100	100	100
Seq_3160	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	88	66	65	65	65	65
Seq_3161	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	65	63	63	63	63
Seq_3162	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA	100	99	99	99	96	96	96
Seq_3163	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_3164	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	caffeinilytica	100	100	100	100	98	98	54
Seq_3165	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3166	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	94	84	66	66	66	66	66
Seq_3167	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	NA	100	100	100	100	100	99	45
Seq_3168	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	99	99	99	59	49	49
Seq_3169	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	95	92	92	92
Seq_3170	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	NA	100	100	100	98	98	90	74
Seq_3171	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	87	83	83
Seq_3172	Archaea	Thermoplasmatota	Thermoplasmata	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_3173	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	NA	100	100	100	100	100	100	100
Seq_3174	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	100	100	100	100	90	39	39
Seq_3175	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_3176	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	88	57	57	57	57	57
Seq_3177	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	seeligeri	100	100	100	99	96	96	55
Seq_3178	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3	NA	NA	100	100	100	100	100	100	100
Seq_3179	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	100	100	100	100	100	99	97
Seq_3180	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA	100	100	100	100	100	100	100
Seq_3181	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_3182	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3183	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	100	100	100	100	100	100	54
Seq_3184	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA	100	100	100	100	100	99	99
Seq_3185	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA	100	100	100	100	77	50	50
Seq_3186	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	imitans	100	100	100	100	100	100	65
Seq_3187	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3188	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	97	82	61	57	57	57	57
Seq_3189	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	99	83	50	47	47	47	47
Seq_3190	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	57	56	56	56	56
Seq_3191	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	100	84	45	45	45	45	45
Seq_3192	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	NA	100	100	100	100	100	100	100
Seq_3193	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3194	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	97	97	97	97	97	97
Seq_3195	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	NA	NA	100	95	95	95	95	95	95
Seq_3196	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	NA	NA	100	100	100	100	100	100	100
Seq_3197	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	92	92	92	92
Seq_3198	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	87	61	61	61	61	61
Seq_3199	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	100	100	100
Seq_3200	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	86	58	56	56	56	56
Seq_3201	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Nevskia	NA	100	100	100	100	100	100	100
Seq_3202	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	steynii	100	100	100	100	100	99	89
Seq_3203	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus Captivus	NA	100	100	99	97	97	97	97
Seq_3204	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	85	74	71	71	71	71
Seq_3205	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	75	52	52	52	52	52
Seq_3206	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	antarcticus	100	100	100	100	100	99	52
Seq_3207	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	63	59	59	59	59
Seq_3208	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	98	80	50	49	49	49	49
Seq_3209	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	NA	NA	100	100	100	100	97	97	97
Seq_3210	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	100	99	99
Seq_3211	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	100	100	100	100	100	100	100
Seq_3212	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	yamanorum	100	100	100	100	100	100	63
Seq_3213	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	100	100	100	100	100	97	67
Seq_3214	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	84	59	53	53	53	53
Seq_3215	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	88	59	58	58	58	58
Seq_3216	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	97	80	61	60	60	60	60
Seq_3217	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	99	99
Seq_3218	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	NA	100	100	100	100	85	85	58
Seq_3219	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	92	87	41	41	35	35
Seq_3220	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	83	59	57	57	57	57
Seq_3221	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	96	44
Seq_3222	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	98	83	83	83	83
Seq_3223	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3224	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	haemolyticus	100	100	100	100	100	100	89
Seq_3225	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_3226	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	NA	NA	100	93	92	70	70	54	54
Seq_3227	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	61	59	59	59	59
Seq_3228	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	98	79
Seq_3229	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	NA	100	100	100	100	100	98	98
Seq_3230	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA	100	100	100	100	100	99	99
Seq_3231	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	putida	100	100	100	100	100	100	67
Seq_3232	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	NA	NA	100	100	100	100	100	56	56
Seq_3233	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	100	63
Seq_3234	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	97	97
Seq_3235	Bacteria	Planctomycetota	BD7-11	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_3236	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	NA	100	100	100	100	100	99	99
Seq_3237	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	66	66	66	66
Seq_3238	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	99	99	99	99
Seq_3239	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	92	92	92	92	92	92
Seq_3240	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA	100	100	100	100	100	99	99
Seq_3241	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	96	96
Seq_3242	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	61	53	53	53
Seq_3243	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	NA	100	100	100	100	100	100	100
Seq_3244	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	NA	100	100	100	100	86	83	81
Seq_3245	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	dokdonensis	100	100	100	100	100	100	62
Seq_3246	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	97	97
Seq_3247	Bacteria	NA	NA	NA	NA	NA	NA	100	32	32	32	17	17	9
Seq_3248	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA	100	100	100	87	87	87	85
Seq_3249	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	NA	NA	100	100	100	100	100	100	100
Seq_3250	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	NA	100	100	100	100	100	99	99
Seq_3251	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	87	87	87	87
Seq_3252	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_3253	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	79	57	55	55	55	55
Seq_3254	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3255	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA	NA	100	100	100	100	98	88	88
Seq_3256	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	69	59	59	59
Seq_3257	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3	NA	NA	100	100	100	100	100	100	100
Seq_3258	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	99	99	99	99	99	99
Seq_3259	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	100	100	100	100	100	100	97
Seq_3260	Bacteria	Firmicutes	NA	NA	NA	NA	NA	100	61	24	24	24	23	22
Seq_3261	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	99	83	51	49	49	49	49
Seq_3262	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	81	71	69	69	69	69
Seq_3263	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	84	61	58	58	58	58
Seq_3264	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	80	54	51	51	51	51
Seq_3265	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA	100	100	100	99	99	99	99
Seq_3266	Bacteria	Proteobacteria	Gammaproteobacteria	JG36-TzT-191	NA	NA	NA	100	100	100	100	100	100	100
Seq_3267	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	80	80	80	80
Seq_3268	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA	100	100	100	95	95	95	86
Seq_3269	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	NA	NA	100	100	100	98	96	73	73
Seq_3270	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	simplex	100	100	100	100	99	99	87
Seq_3271	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Parachlamydia	NA	100	100	100	100	85	50	48
Seq_3272	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	79	56	55	55	55	55
Seq_3273	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	84	58	55	55	55	55
Seq_3274	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_3275	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	100	100	100	89	89	89	89
Seq_3276	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_3277	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	100	100	100	100	100	100	100
Seq_3278	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_3279	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3280	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3281	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_3282	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	100	75	49	48	48	48	48
Seq_3283	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	82	65	61	61	61	61
Seq_3284	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	99	82	63	55	55	55	55
Seq_3285	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	97	78	59	55	55	55	55
Seq_3286	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_3287	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus	NA	100	100	100	100	100	100	100
Seq_3288	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	NA	NA	100	100	100	100	62	62	62
Seq_3289	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	tuberculostearicum	100	100	100	100	100	100	81
Seq_3290	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	97	81	67	65	65	65	65
Seq_3291	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	NA	100	100	100	100	100	98	96
Seq_3292	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	83	62	58	58	58	58
